Line#,Date,Time,"Pressure (S-BPA 10945459:2263803-1), mbar, UCFC-Field","Rain (S-RGA 10945459:10160298-1), mm, UCFC-Field Rain","PAR (S-LIA 10945459:2287369-1), uE, UCFC-Field PAR","Temperature (S-THB 10945459:2308813-1), *C, UCFC-Field Air Temp","Dew Point (S-THB 10945459:2308813-3), *C, UCFC-Field DewPt","RH (S-THB 10945459:2308813-2), %, UCFC-Field RH","Wind Speed (S-WCA 10945459:9668869-1), m/s, UCFC-Field Wind Speed","Gust Speed (S-WCA 10945459:9668869-2), m/s, UCFC-Field Gust Speed","Wind Direction (S-WCA 10945459:9668869-3), *, UCFC-Field Wind Dir","Temperature (S-TMB 10945459:2288366-1), *C, UCFC-Field Soil Temp","Battery (RX3000 BATTERY 10945459:10945459-B), V, UCFC-Field Batt","Wind Direction (S-WCA 10945459:9668869-3), *, UCFC-Field","Rain (S-RGA 10945459:10160298-1), mm, UCFC-Field","Battery (RX3000 BATTERY 10945459:10945459-B), V, UCFC-Field","Wind Speed (S-WCA 10945459:9668869-1), m/s, UCFC-Field","Gust Speed (S-WCA 10945459:9668869-2), m/s, UCFC-Field","RH (S-THB 10945459:2308813-2), %, UCFC-Field","Dew Point (S-THB 10945459:2308813-3), *C, UCFC-Field","Temperature (S-THB 10945459:2308813-1), *C, UCFC-Field","Temperature (S-TMB 10945459:2288366-1), *C, UCFC-Field","Temperature (S-TMB 10945459:2288366-1), *C, UCFC-Field Temp air","PAR (S-LIA 10945459:2287369-1), uE, UCFC-Field"
1,05/22/17,12:30:00,997.9,,,19.67,,62.10,,,74,,,,,,,,,,,,,
2,05/22/17,12:35:00,,,,,,,,,,,4.415,,,,,,,,,,,
3,05/22/17,12:40:00,,,,,,,,,,,4.453,,,,,,,,,,,
4,05/22/17,12:45:00,997.6,0.0,"1,154",18.91,10.38,57.60,0.2,1.5,330,27.04,4.462,,,,,,,,,,,
5,05/22/17,12:50:00,,,,,,,,,,,4.439,,,,,,,,,,,
6,05/22/17,12:55:00,,,,,,,,,,,4.423,,,,,,,,,,,
7,05/22/17,13:00:00,997.4,0.0,"1,614",20.10,11.23,56.60,0.2,1.3,206,29.41,4.398,,,,,,,,,,,
8,05/22/17,13:05:00,,,,,,,,,,,4.418,,,,,,,,,,,
9,05/22/17,13:10:00,,,,,,,,,,,4.462,,,,,,,,,,,
10,05/22/17,13:15:00,997.4,0.0,"1,184",20.53,10.53,52.60,0.2,1.1,239,29.02,4.460,,,,,,,,,,,
11,05/22/17,13:20:00,,,,,,,,,,,4.433,,,,,,,,,,,
12,05/22/17,13:25:00,,,,,,,,,,,4.421,,,,,,,,,,,
13,05/22/17,13:30:00,997.3,0.0,"1,186",19.94,11.37,57.70,0.2,1.5,263,28.37,4.400,,,,,,,,,,,
14,05/22/17,13:35:00,,,,,,,,,,,4.411,,,,,,,,,,,
15,05/22/17,13:40:00,,,,,,,,,,,4.456,,,,,,,,,,,
16,05/22/17,13:45:00,997.1,0.0,"1,124",19.91,13.23,65.30,0.2,1.3,11,28.22,4.465,,,,,,,,,,,
17,05/22/17,13:50:00,,,,,,,,,,,4.436,,,,,,,,,,,
18,05/22/17,13:55:00,,,,,,,,,,,4.421,,,,,,,,,,,
19,05/22/17,14:00:00,997.0,0.0,941,19.65,12.93,65.10,0.2,1.3,45,27.06,4.402,,,,,,,,,,,
20,05/22/17,14:05:00,,,,,,,,,,,4.417,,,,,,,,,,,
21,05/22/17,14:10:00,,,,,,,,,,,4.454,,,,,,,,,,,
22,05/22/17,14:15:00,997.0,0.0,"1,429",20.65,12.32,58.80,0.0,0.7,104,27.92,4.460,,,,,,,,,,,
23,05/22/17,14:20:00,,,,,,,,,,,4.436,,,,,,,,,,,
24,05/22/17,14:25:00,,,,,,,,,,,4.421,,,,,,,,,,,
25,05/22/17,14:30:00,996.8,0.0,"1,791",21.51,12.68,57.10,0.0,0.9,73,30.57,4.400,,,,,,,,,,,
26,05/22/17,14:35:00,,,,,,,,,,,4.418,,,,,,,,,,,
27,05/22/17,14:40:00,,,,,,,,,,,4.456,,,,,,,,,,,
